Contrato de Locação	Contrato Comercial	ValorAquisicao	Estratégia
LOC-2429-1/30	CTO-2429		Não Renova
LOC-2429-10/30	CTO-2429		Não Renova
LOC-2429-2/30	CTO-2429		Não Renova
LOC-2429-22/30	CTO-2429		Não Renova
LOC-2407-60/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2429-21/30	CTO-2429		Não Renova
LOC-2429-3/30	CTO-2429		Não Renova
LOC-2429-6/30	CTO-2429		Não Renova
LOC-2429-7/30	CTO-2429		Não Renova
LOC-2429-4/30	CTO-2429		Não Renova
LOC-2429-12/30	CTO-2429		Não Renova
LOC-2542-7/12	CTO-2542		Renova com mesmo Veiculo
LOC-2407-9/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2542-16/12	CTO-2542		Renova com mesmo Veiculo
LOC-1515-215/24	CTO-1515		Renova com mesmo Veiculo
LOC-2542-15/12	CTO-2542		Renova com mesmo Veiculo
LOC-2542-11/12	CTO-2542		Renova com mesmo Veiculo
LOC-2542-6/12	CTO-2542		Renova com mesmo Veiculo
LOC-2583-1/27	CTO-2583		Renova com mesmo Veiculo
LOC-2407-5/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2542-14/12	CTO-2542		Renova com mesmo Veiculo
LOC-2542-5/12	CTO-2542		Renova com mesmo Veiculo
LOC-2407-76/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2542-10/12	CTO-2542		Renova com mesmo Veiculo
LOC-2407-102/30	CTO-2407	 R$ 57.191,00 	Renova com troca (zero)
LOC-2542-13/12	CTO-2542		Renova com mesmo Veiculo
LOC-2542-8/12	CTO-2542		Renova com mesmo Veiculo
LOC-2542-9/12	CTO-2542		Renova com mesmo Veiculo
LOC-2542-12/12	CTO-2542		Renova com mesmo Veiculo
LOC-2542-3/12	CTO-2542		Renova com mesmo Veiculo
LOC-2542-4/12	CTO-2542		Renova com mesmo Veiculo
LOC-2407-14/30	CTO-2407	 R$ 53.730,00 	Renova com troca (zero)
LOC-2542-2/12	CTO-2542		Renova com mesmo Veiculo
